지점,지점명,일시,강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2021-09-06,9.17,1.2,2014,4,2138,12
108,서울,2021-09-07,22.58,2.4,919,6.6,852,29.6
108,서울,2021-09-08,6.67,.3,231,.7,149,1.6
108,서울,2021-09-21,9.58,7.5,2333,27.1,2312,68.1
108,서울,2021-09-22,2,1.9,5,4.2,1,4.5
108,서울,2021-09-27,5.67,0,,0,,0
108,서울,2021-09-28,9.28,.3,2000,.7,2100,1.3
108,서울,2021-09-29,12.25,1.6,522,5,847,13.1
108,서울,2021-10-01,2.17,8.5,2202,12.7,2153,13.3
108,서울,2021-10-04,6.17,1.1,1751,3.5,1714,3.6
108,서울,2021-10-05,2.92,0,,0,,0
108,서울,2021-10-06,11.92,.6,759,2,735,6.4
108,서울,2021-10-07,6.08,1.2,524,3.8,505,4.6
108,서울,2021-10-08,8.58,.3,1041,.9,1044,3.5
108,서울,2021-10-09,3.5,.2,,.3,635,.4
108,서울,2021-10-10,13.33,1.4,1236,4.4,1237,14.2
108,서울,2021-10-11,4.83,.2,,.3,-2331,.3
108,서울,2021-10-15,7.83,0,,0,,0
108,서울,2021-10-16,2.17,0,,0,,0
108,서울,2021-10-18,4.08,1.3,2341,4.8,2331,5.6
108,서울,2021-10-19,2.75,1,-2356,3.1,1,4.4
108,서울,2021-10-27,.75,0,,0,,0
108,서울,2021-10-31,.58,.7,2035,.7,2015,.7
108,서울,2021-11-04,.25,,,,,0
108,서울,2021-11-08,18.5,,,,,25.7
108,서울,2021-11-09,11.08,,,,,2
108,서울,2021-11-10,4.58,,,,,.3
108,서울,2021-11-11,.17,,,,,0
108,서울,2021-11-18,2.08,,,,,0
108,서울,2021-11-21,2.92,,,,,5.9
108,서울,2021-11-22,2.92,,,,,1.3
108,서울,2021-11-24,.17,,,,,0
108,서울,2021-11-26,.83,,,,,0
108,서울,2021-11-30,13.75,,,,,27.2
108,서울,2021-12-02,2.58,,,,,.1
108,서울,2021-12-03,2,,,,,.4
108,서울,2021-12-10,2.78,,,,,.7
108,서울,2021-12-14,7.58,,,,,1.2
108,서울,2021-12-15,4.25,,,,,2.1
108,서울,2021-12-16,.38,,,,,0
108,서울,2021-12-18,4.33,,,,,2.8
108,서울,2021-12-19,1.17,,,,,.2
108,서울,2021-12-20,.33,,,,,0
108,서울,2021-12-24,2.33,,,,,.2
108,서울,2021-12-27,2.08,,,,,0
108,서울,2021-12-29,1.58,,,,,.2
108,서울,2021-12-30,.5,,,,,0
